     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
         1    9.8969882428E-01    5.2760225728E-01    9.1389908579E-04   -4.7532616940E-01
         2    2.7287888838E-05    2.6100885907E-04    2.0214174892E-03   -4.7532462435E-01
         3    1.2391925176E-04    1.1789572028E-03    3.1422634195E-03   -4.7531933851E-01
         4    3.9014255776E-04    2.5767873439E-03    2.8753797223E-03   -4.7530168493E-01
         5    7.0745600972E-04    2.5818129817E-03    2.5856471565E-03   -4.7523864869E-01
         6    8.4383076978E-04    2.1540784263E-03    2.2640890526E-03   -4.7511111009E-01
         7    8.0675863167E-04    1.7379722306E-03    1.9471659523E-03   -4.7496216459E-01
         8    6.5815799177E-04    1.5342369187E-03    1.3936955243E-03   -4.7476972036E-01
         9    4.6833706685E-04    9.8499754163E-04    9.1024971968E-04   -4.7453185391E-01
        10    3.0498137992E-04    5.9027076690E-04    5.6500408317E-04   -4.7431160221E-01
        11    1.9004340280E-04    3.5723389206E-04    3.4211532867E-04   -4.7414799011E-01
        12    1.1622020574E-04    2.0871907660E-04    2.0813137658E-04   -4.7404206609E-01
        13    7.0622142900E-05    1.2099355471E-04    1.2488023576E-04   -4.7397821717E-01
        14    4.2892559960E-05    6.9662926562E-05    7.5483494969E-05   -4.7394087486E-01
        15    2.6107177824E-05    4.0262603276E-05    4.8063828279E-05   -4.7391921480E-01
        16    1.5942102090E-05    2.3684611698E-05    3.1607522941E-05   -4.7390662378E-01
        17    9.7697920724E-06    1.4666498194E-05    2.0707725829E-05   -4.7389925740E-01
        18    6.0087379623E-06    9.5587058173E-06    1.3530674841E-05   -4.7389491407E-01
        19    3.7084605811E-06    6.2239945983E-06    8.7931244961E-06   -4.7389233308E-01
        20    2.2965111559E-06    4.0490960833E-06    5.8123961005E-06   -4.7389078800E-01
        21    1.4268698244E-06    2.6320393700E-06    5.3447348536E-06   -4.7388985673E-01
        22    8.8952869377E-07    1.7097073027E-06    4.9183255560E-06   -4.7388929185E-01
        23    5.5651103001E-07    1.1100243892E-06    4.5294873571E-06   -4.7388894715E-01
        24    3.4952976140E-07    7.2055528355E-07    4.1750479626E-06   -4.7388873554E-01
        25    2.2052453130E-07    4.6789410751E-07    3.8521155114E-06   -4.7388860483E-01
        26    1.3989499644E-07    3.0416481195E-07    3.5590908853E-06   -4.7388852355E-01
        27    8.9355803138E-08    1.9817725228E-07    3.3056694733E-06   -4.7388847259E-01
        28    5.7580031781E-08    1.2963606999E-07    3.0984804072E-06   -4.7388844033E-01
        29    3.7533142414E-08    8.5413705886E-08    2.9145358557E-06   -4.7388841966E-01
