 istep =  100001
     ik     ic     iv              Real              Imag               Abs
      1      1      1  -4.689035812E-03  -5.730390311E-04   4.723921102E-03
      2      1      1  -4.966768332E-03  -5.963069363E-04   5.002436369E-03
      3      1      1  -5.224680648E-03  -6.221636953E-04   5.261594391E-03
      4      1      1  -5.478530455E-03  -6.581364280E-04   5.517919853E-03
      5      1      1  -5.741458714E-03  -7.211986560E-04   5.786577198E-03
      6      1      1  -6.016256711E-03  -7.930623672E-04   6.068302294E-03
      7      1      1  -6.328891580E-03  -7.845726497E-04   6.377336660E-03
      8      1      1  -6.663366649E-03  -7.994540826E-04   6.711153547E-03
      9      1      1  -7.039377758E-03  -8.332294095E-04   7.088519625E-03
     10      1      1  -7.507271361E-03  -9.070151261E-04   7.561864832E-03
     11      1      1  -8.035758134E-03  -1.010417625E-03   8.099034051E-03
     12      1      1  -8.651306562E-03  -9.474623021E-04   8.703033381E-03
     13      1      1  -9.332655548E-03  -1.072873555E-03   9.394121420E-03
     14      1      1  -1.010978185E-02  -1.191493180E-03   1.017975172E-02
     15      1      1  -1.099182237E-02  -1.209812558E-03   1.105820082E-02
     16      1      1  -1.197715658E-02  -1.360155386E-03   1.205414047E-02
     17      1      1  -1.309629697E-02  -1.590638625E-03   1.319254053E-02
     18      1      1  -1.442576042E-02  -1.680155900E-03   1.452327400E-02
     19      1      1  -1.603629131E-02  -1.876000923E-03   1.614565014E-02
     20      1      1  -1.829100614E-02  -1.964888622E-03   1.839624127E-02
     21      1      1  -2.104201698E-02  -2.260395774E-03   2.116307793E-02
     22      1      1  -2.438600427E-02  -2.766089864E-03   2.454238085E-02
     23      1      1  -2.841711246E-02  -3.284149106E-03   2.860625658E-02
     24      1      1  -3.318146087E-02  -3.565822008E-03   3.337251013E-02
     25      1      1  -3.860943965E-02  -4.002894035E-03   3.881638817E-02
     26      1      1  -4.452920944E-02  -4.510081929E-03   4.475702551E-02
     27      1      1  -5.058645363E-02  -5.073014171E-03   5.084018847E-02
     28      1      1  -5.618664317E-02  -5.841000512E-03   5.648943403E-02
     29      1      1  -6.066091616E-02  -6.216028293E-03   6.097856801E-02
     30      1      1  -6.285571025E-02  -6.138831259E-03   6.315477465E-02
     31      1      1  -6.235446501E-02  -6.107136734E-03   6.265282457E-02
     32      1      1  -5.984365015E-02  -6.094436897E-03   6.015317634E-02
     33      1      1  -4.869985037E-02  -7.838576922E-03   4.932665318E-02
     34      1      1  -7.582632054E-03  -1.003097229E-02   1.257444686E-02
     35      1      1   1.797424483E-02  -8.626953925E-03   1.993734715E-02
     36      1      1   2.571843234E-02  -8.468372650E-03   2.707676305E-02
     37      1      1   3.622892525E-02  -5.131326919E-03   3.659051162E-02
     38      1      1   3.419874123E-02  -4.806257855E-03   3.453482325E-02
     39      1      1   3.088219726E-02  -4.489016307E-03   3.120675208E-02
     40      1      1   2.752261211E-02  -5.084631120E-03   2.798834849E-02
     41      1      1   2.505513674E-02  -5.516780124E-03   2.565530628E-02
     42      1      1   2.231901378E-02  -6.104423295E-03   2.313876314E-02
